topic,political_leaning,sentence_count,Fear_Score,Anger_Score,Joy_Score,Sadness_Score,Disgust_Score,Surprise_Score,Neutral_Score
-1,Liberal,34,0.07065226311918676,0.20958194681717193,0.03939204762333676,0.01473509191590197,0.23807661246289225,0.06311416798545157,0.3644478621837847
-1,Moderate,80,0.045231482577946736,0.11809319426538423,0.015573991817655041,0.024643955906503832,0.15054107043833936,0.07407183258037549,0.5718444686266594
0,Liberal,3,0.014392737687254945,0.029043210670351982,0.0024254940605411925,0.01580742816440761,0.03397904336452484,0.02012080466374755,0.8842312693595886
0,Moderate,12,0.053604575262094535,0.11691337750138094,0.01185720891226083,0.050215662301828466,0.10825557859304051,0.0506383142589281,0.6085152986148993
1,Liberal,5,0.05323811531998217,0.026395181100815533,0.02659235829487443,0.0086021535564214,0.07605933295562864,0.11732055982574821,0.6917923092842102
1,Moderate,2,0.012960606720298529,0.12752141477540135,0.003375756903551519,0.0053509093122556806,0.33374876249581575,0.03512637782841921,0.48191621620208025
2,Liberal,18,0.010076695839719227,0.028281507392724354,0.06423081838551702,0.039292873840572104,0.11022347575312273,0.04594264550703681,0.7019519817291034
2,Moderate,9,0.018820508059838578,0.056709363435705505,0.00870615890663531,0.021126721675197285,0.2909331455464578,0.0298152513957272,0.5738888565036986
3,Liberal,5,0.0034887082874774933,0.22049878342077137,0.009699534601531922,0.005392460199072957,0.09747398803010583,0.009226197097450494,0.6542203046381474
3,Moderate,9,0.0393487254364623,0.12358785938057634,0.002881378633901477,0.03743266324616141,0.09384943896697627,0.029908055750032265,0.6729918751451704
4,Liberal,12,0.24662376300451191,0.1480677476307998,0.007657083236457159,0.012614748013826707,0.30613842636618455,0.012116287883448726,0.2667819522321224
4,Moderate,2,0.001215651340316981,0.0054002630058676004,0.4462892799638212,0.0022350187646225095,0.00822233920916915,0.01456534955650568,0.5220720991492271
5,Liberal,9,0.036421825307317905,0.11233470226741499,0.010058396379463375,0.011894104717713263,0.17163535435166624,0.014701343128561147,0.6429542435540093
5,Moderate,2,0.006076088058762252,0.01666824659332633,0.004824496107175946,0.008708693087100983,0.023174747126176953,0.08592583239078522,0.8546218872070312
6,Liberal,1,0.0062913005240261555,0.05477640777826309,0.0070171416737139225,0.005525430664420128,0.09554526209831238,0.03044622763991356,0.8003981709480286
6,Moderate,1,0.01322978176176548,0.034825101494789124,0.019331876188516617,0.011478804983198643,0.061195749789476395,0.006019036751240492,0.8539195656776428
7,Liberal,2,0.019234113860875368,0.26323430240154266,0.0014302820200100541,0.010313613107427955,0.46255606412887573,0.04800596972927451,0.19522564113140106
8,Liberal,1,0.0039009391330182552,0.05520588904619217,0.0019536595791578293,0.004182822536677122,0.20954743027687073,0.030632026493549347,0.6945772171020508
9,Liberal,3,0.02207877937083443,0.1855650432407856,0.024905956738318007,0.039488683765133224,0.1986973632592708,0.14838324828694263,0.3808809046943982
9,Moderate,6,0.012254368203381697,0.08096812013536692,0.0032800063684893153,0.0248146493298312,0.20724602059150735,0.12593119389687976,0.5455056478579839
10,Liberal,3,0.02574996929615736,0.041790842389067016,0.0029600524188329778,0.008883793683101734,0.04231906263157725,0.017357204264650743,0.8609390457471212
10,Moderate,11,0.0104953404833478,0.1789785438979214,0.008129921254955909,0.03986806456338276,0.03496654488315636,0.10767622823318974,0.6198853525248441
11,Liberal,1,0.0035712162498384714,0.09325092285871506,0.0049277194775640965,0.006323941517621279,0.18697604537010193,0.0080396244302392,0.6969105005264282
11,Moderate,21,0.01567830456354256,0.09505392686419543,0.005907853416699384,0.02026275179481932,0.0706614174026375,0.08001701003827509,0.7124187392847878
12,Liberal,3,0.049856199572483696,0.5380908151467642,0.0012609773548319936,0.005149099587773283,0.3466235113640626,0.005416234722360969,0.05360314746697744
13,Liberal,1,0.007933632470667362,0.02295801043510437,0.005244466010481119,0.005561287514865398,0.037051331251859665,0.012935235165059566,0.9083160758018494
13,Moderate,8,0.09557375524309464,0.05609170050593093,0.013857892306987196,0.1344181663589552,0.047211399069055915,0.06930008885683492,0.5835469719022512
14,Liberal,3,0.019234287086874247,0.028719300404191017,0.008671301494662961,0.007598747809727986,0.0652970423301061,0.010868110926821828,0.8596112132072449
14,Moderate,7,0.028838735739035264,0.18455388942467316,0.004302846367603966,0.09900255228525826,0.1848997785044568,0.03186203805463655,0.46654018866164343
15,Moderate,5,0.021248058532364666,0.04058131678029895,0.0041310076601803304,0.012894439697265624,0.11407594010233879,0.03999808579683304,0.7670711696147918
16,Liberal,1,0.030620504170656204,0.07431579381227493,0.0014969402691349387,0.6194157004356384,0.19835002720355988,0.015567990951240063,0.060233067721128464
16,Moderate,2,0.12940707616508007,0.16273897141218185,0.004968540626578033,0.1423594169318676,0.49163512885570526,0.030099700670689344,0.038791097700595856
17,Liberal,4,0.10590831888839602,0.0659331101924181,0.007831083057681099,0.17071726312860847,0.04803621559403837,0.0831931823049672,0.518380843102932
17,Moderate,1,0.0026502918917685747,0.014665224589407444,0.002373163588345051,0.003948180004954338,0.009531857445836067,0.022358940914273262,0.9444723725318909
18,Moderate,2,0.008858006913214922,0.011361232027411461,0.008567215176299214,0.008787673083133996,0.021005628630518913,0.03501566220074892,0.9064046442508698
19,Liberal,7,0.06817151599430613,0.18108916322567634,0.0038462073176300953,0.056177897145971656,0.19267991837114096,0.009135302821440356,0.48889999756855623
20,Liberal,2,0.01359933172352612,0.029675781726837158,0.0038981938268989325,0.014398742699995637,0.04668494779616594,0.019775498774833977,0.8719675242900848
20,Moderate,6,0.009799231930325428,0.03395503852516413,0.010934101766906679,0.006286004635815819,0.03664795751683414,0.04031791817396879,0.862059752146403
21,Liberal,2,0.01551438681781292,0.06884976290166378,0.012133942684158683,0.022442256100475788,0.046614266000688076,0.012090505566447973,0.8223549127578735
21,Moderate,1,0.0081494664773345,0.7534027695655823,0.0016930169658735394,0.011546694673597813,0.09211299568414688,0.004230311140418053,0.12886467576026917
22,Moderate,14,0.11299069277343474,0.06076646350058062,0.006125443623334702,0.014572222268075816,0.04738824222502964,0.01903139563676502,0.7391255274415016
24,Moderate,1,0.0062367916107177734,0.013153995387256145,0.003840954275801778,0.014230860397219658,0.014207454398274422,0.2498970329761505,0.6984329223632812
25,Liberal,2,0.4994355645030737,0.010668216273188591,0.0048807121347635984,0.008369122631847858,0.022196039033588022,0.006804578937590122,0.44764576689340174
25,Moderate,1,0.06781339645385742,0.06104862689971924,0.0023197676055133343,0.016465090215206146,0.010065008886158466,0.02704097144305706,0.8152471780776978
26,Liberal,2,0.0023066563881002367,0.007373825181275606,0.0061916576232761145,0.0027651602867990732,0.004065246786922216,0.029617040418088436,0.9476804435253143
26,Moderate,36,0.04540404895993157,0.08276328382392724,0.044605920787338015,0.025802760352639273,0.05934659898695019,0.10995792906679627,0.6321194417541847
27,Moderate,1,0.0012132824631407857,0.019126981496810913,0.00960840005427599,0.0027363074477761984,0.03780437633395195,0.011175687424838543,0.9183349609375
28,Liberal,4,0.011178747983649373,0.018833531881682575,0.01629866339499131,0.006641716463491321,0.024499438353814185,0.06946714606601745,0.8530807644128799
28,Moderate,2,0.025467862840741873,0.022226678673177958,0.010117473779246211,0.03786039538681507,0.026124159805476665,0.01601299410685897,0.8621904850006104
29,Liberal,3,0.011524676888560256,0.08604661514982581,0.004824653112639983,0.010730685588593284,0.06429676649471124,0.017965374048799276,0.8046112259229025
29,Moderate,8,0.008067796487011947,0.1471636145724915,0.0977729467122117,0.007027669867966324,0.11343863140791655,0.15265216171974316,0.4738771663978696
30,Liberal,1,0.008811394684016705,0.030034005641937256,0.0019659490790218115,0.02943151816725731,0.036295048892498016,0.04327685758471489,0.8501851558685303
30,Moderate,2,0.4241995536722243,0.1092781275510788,0.009890904184430838,0.16470162197947502,0.030135569628328085,0.01284814439713955,0.24894611909985542
31,Moderate,6,0.0356413423238943,0.10647481059034665,0.0048576689829739434,0.0141565534286201,0.1585459734002749,0.013235883399223288,0.6670877772072951
32,Liberal,7,0.011769401441727365,0.2727410682876195,0.0027670873927750756,0.007025470890636955,0.17114113404282502,0.018640798117433275,0.5159150537635598
35,Liberal,1,0.07010944187641144,0.1333044320344925,0.0016645577270537615,0.019646966829895973,0.4956161677837372,0.005142114125192165,0.2745163142681122
35,Moderate,3,0.008271277416497469,0.26917867610851925,0.049072460601261504,0.016205914008120697,0.4147758235534032,0.025561225600540638,0.21693462133407593
36,Moderate,10,0.012909840024076403,0.1209995575249195,0.00430539813823998,0.01834633476100862,0.04759091939777136,0.02390692038461566,0.771941003203392
38,Moderate,5,0.03084032367914915,0.030941391922533514,0.005693690245971083,0.0330352159217,0.06409410685300827,0.0144759027287364,0.8209193587303162
40,Liberal,2,0.22517188545316458,0.03741947561502457,0.01648428221233189,0.009246591944247484,0.2092789113521576,0.03129903553053737,0.4710998125374317
41,Moderate,10,0.012278178113047034,0.044580059684813024,0.05167723583290353,0.010697767371311784,0.04753560647368431,0.04456113912165165,0.7886700242757797
42,Liberal,2,0.0023469620500691235,0.00935366190969944,0.026961081312038004,0.007173305144533515,0.009458253625780344,0.011076759546995163,0.9336299896240234
42,Moderate,1,0.006150446366518736,0.02099437452852726,0.4984143078327179,0.005139356013387442,0.058609090745449066,0.3308904469013214,0.07980203628540039
43,Conservative,1,0.005920149851590395,0.00846051424741745,0.007437633816152811,0.0037429509684443474,0.03532300516963005,0.00499975448474288,0.9341159462928772
43,Liberal,1,0.006276105064898729,0.020263222977519035,0.0019763156305998564,0.003514852374792099,0.02570156753063202,0.011446391232311726,0.9308215975761414
43,Moderate,1,0.0031468686647713184,0.16348519921302795,0.005180801264941692,0.008333840407431126,0.20320869982242584,0.004940540995448828,0.6117040514945984
44,Liberal,4,0.005440958484541625,0.06177758518606424,0.011996785178780556,0.006985660409554839,0.0701772355241701,0.059745936770923436,0.7838758379220963
44,Moderate,1,0.009365759789943695,0.009858361445367336,0.12710420787334442,0.029496369883418083,0.0028356467373669147,0.09983330219984055,0.7215063571929932
46,Liberal,1,0.022723179310560226,0.08283960074186325,0.002904163906350732,0.00974892359226942,0.33534112572669983,0.14010301232337952,0.4063400328159332
46,Moderate,1,0.0016965906834229827,0.0044038183987140656,0.0021451476495712996,0.0008996400865726173,0.0028618460055440664,0.974484384059906,0.013508629985153675
47,Liberal,1,0.004774982109665871,0.03458947688341141,0.000535530794877559,0.0035540808457881212,0.9185328483581543,0.0012618990149348974,0.03675122931599617
49,Liberal,2,0.012439457466825843,0.010349998250603676,0.004532830324023962,0.028661365038715303,0.09151714108884335,0.012297517852857709,0.8402016758918762
51,Liberal,8,0.062276945158373564,0.0364313346799463,0.004615146928699687,0.08550773412571289,0.19480163464322686,0.020835205359617248,0.5955319935455918
51,Moderate,6,0.020593930889541905,0.01606147720788916,0.003145236289128661,0.05029676800283293,0.036253234992424645,0.045686205849051476,0.8279631833235422
52,Liberal,13,0.015575615044396657,0.14391591643484739,0.0029377681113636265,0.03818561521788629,0.22101830533490732,0.03282534956144026,0.5455414400650904
53,Liberal,11,0.026856429620899937,0.02080353848974813,0.11018039286136627,0.06439611772921952,0.035074374596164984,0.060734599363058805,0.6819545403122902
53,Moderate,3,0.013931901815036932,0.05884560911605755,0.03456440086786946,0.18805776730490228,0.03614386326322953,0.042391203343868256,0.6260652442773184
54,Liberal,2,0.12881004065275192,0.02908063493669033,0.0031713915523141623,0.02844004239886999,0.08898688852787018,0.11485644802451134,0.606654554605484
55,Liberal,2,0.003993432910647243,0.03585077030584216,0.1352614003699273,0.019282514695078135,0.028033109847456217,0.012188623193651438,0.765390157699585
55,Moderate,1,0.0035026390105485916,0.06552514433860779,0.0029068042058497667,0.02036377787590027,0.02999449335038662,0.015940114855766296,0.8617671132087708
56,Moderate,1,0.0026618768461048603,0.012082023546099663,0.19655244052410126,0.006493045948445797,0.020238038152456284,0.00746261328458786,0.7545099854469299
57,Moderate,1,0.14363795518875122,0.026670530438423157,0.009870794601738453,0.01577519252896309,0.029095623642206192,0.01339977141469717,0.7615500688552856
